label,area,perim,circ,intensity,layer
810,99,34.97056274847714,1.0172783843869908,184.63636363636363,l5
811,129,39.798989873223334,1.0234237126011188,130.34108527131784,l5
812,344,82.91168824543142,0.6288351217219922,17.680232558139537,l5
813,191,51.21320343559643,0.9151227389373832,21.732984293193716,l5
814,91,33.55634918610404,1.0155512530166595,176.71428571428572,l5
815,220,55.21320343559642,0.9068733802823904,23.927272727272726,l5
816,73,29.556349186104043,1.0501011802029157,21.972602739726028,l5
817,181,48.62741699796952,0.9618913880073424,24.69060773480663,l5
818,172,46.62741699796952,0.9941584211054686,128.11046511627907,l5
819,101,73.01219330881975,0.23808961231508702,15.92079207920792,l5
820,82,32.384776310850235,0.9825211619200456,25.475609756097562,l5
821,181,50.04163056034262,0.9082920944600156,27.96685082872928,l5
822,84,32.970562748477136,0.9710384578239463,26.86904761904762,l5
823,3033,386.49242404917493,0.2551527794430881,16.134849983514673,l5
824,24,16.86396103067893,1.0604786408764098,33.583333333333336,l5
825,134,41.21320343559643,0.9913840255116857,23.186567164179106,l5
826,529,172.64570696119915,0.22302521612797657,16.359168241965975,l5
827,172,47.21320343559643,0.9696419001265579,22.46511627906977,l5
828,109,36.970562748477136,1.0021304061097107,65.23853211009174,l5
829,72,28.72792206135785,1.0963114064221526,38.55555555555556,l5
830,59,29.31370849898476,0.8628202832929661,22.06779661016949,l5
831,38,28.72792206135786,0.5786087978339136,22.13157894736842,l5
832,105,67.46194077712559,0.28992221969707715,15.504761904761905,l5
833,173,47.4558441227157,0.9653316855597918,24.0,l5
834,104,36.970562748477136,0.9561611214257792,25.048076923076923,l5
835,92,35.21320343559643,0.9323664119108016,22.83695652173913,l5
836,34,21.278174593052025,0.9436697744860123,19.08823529411765,l5
837,377,113.9827560572969,0.36464721969054065,17.52785145888594,l5
838,65,52.42031021678297,0.29725149478570567,12.876923076923077,l5
839,1895,290.04267658086917,0.2830709287635438,16.013720316622692,l5
840,165,45.798989873223334,0.98851214461468,26.563636363636363,l5
841,189,49.45584412271572,0.9710384578239456,25.354497354497354,l5
842,132,46.76345596729059,0.7585262178192466,20.477272727272727,l5
843,217,72.80508652763322,0.5144535319049189,19.447004608294932,l5
844,121,39.79898987322333,0.9599555753855458,23.34710743801653,l5
845,83,31.31370849898476,1.0636994816951175,27.3855421686747,l5
